Datetimes,"Streamflow, ft&#179;/s"
1990-11-23T14:15:00-06:00,59.0
1990-11-24T14:15:00.000-06:00,59.0
1990-11-24T14:15:00-06:00,60.0
1990-11-25T14:15:00.000-06:00,60.0
1990-11-25T14:15:00-06:00,61.0
1990-11-26T14:15:00.000-06:00,61.0
1990-11-26T14:15:00-06:00,73.0
1990-11-27T14:15:00.000-06:00,73.0
1990-11-27T14:15:00-06:00,58.0
1990-11-28T14:15:00.000-06:00,58.0
1990-11-28T14:15:00-06:00,61.0
1990-11-29T14:15:00.000-06:00,61.0
1990-11-29T14:15:00-06:00,63.0
1990-11-30T14:15:00.000-06:00,63.0
1990-11-30T14:15:00-06:00,62.0
1990-12-01T14:15:00.000-06:00,62.0
1990-12-01T14:15:00-06:00,59.0
1990-12-02T14:15:00.000-06:00,59.0
1990-12-02T14:15:00-06:00,46.0
1990-12-03T14:15:00.000-06:00,46.0
1990-12-03T14:15:00-06:00,58.0
1990-12-04T14:15:00.000-06:00,58.0
1990-12-04T14:15:00-06:00,67.0
1990-12-05T14:15:00-06:00,67.0
1990-12-06T14:15:00.000-06:00,67.0
1990-12-06T14:15:00-06:00,77.0
1990-12-07T14:15:00.000-06:00,77.0
1990-12-07T14:15:00-06:00,79.0
1990-12-08T14:15:00.000-06:00,79.0
1990-12-08T14:15:00-06:00,72.0
1990-12-09T14:15:00.000-06:00,72.0
1990-12-09T14:15:00-06:00,59.0
1990-12-10T14:15:00.000-06:00,59.0
1990-12-10T14:15:00-06:00,69.0
1990-12-11T14:15:00.000-06:00,69.0
1990-12-11T14:15:00-06:00,78.0
1990-12-12T14:15:00.000-06:00,78.0
1990-12-12T14:15:00-06:00,79.0
1990-12-13T14:15:00-06:00,79.0
1990-12-14T14:15:00.000-06:00,79.0
1990-12-14T14:15:00-06:00,74.0
1990-12-15T14:15:00.000-06:00,74.0
1990-12-15T14:15:00-06:00,79.0
1990-12-16T14:15:00-06:00,79.0
1990-12-17T14:15:00.000-06:00,79.0
1990-12-17T14:15:00-06:00,77.0
1990-12-18T14:15:00.000-06:00,77.0
1990-12-18T14:15:00-06:00,723
1990-12-19T14:15:00-06:00,723
1990-12-20T14:15:00-06:00,723
1990-12-21T14:15:00-06:00,723
1990-12-22T14:15:00-06:00,723
1990-12-23T14:15:00-06:00,723
1990-12-24T14:15:00-06:00,723
1990-12-25T14:15:00-06:00,723
1990-12-26T14:15:00-06:00,723
1990-12-27T14:15:00-06:00,723
1990-12-28T14:15:00-06:00,723
1990-12-29T14:15:00-06:00,723
1990-12-30T14:15:00-06:00,723
1990-12-31T14:15:00-06:00,723
1991-01-01T14:15:00-06:00,723
1991-01-02T14:15:00-06:00,723
1991-01-03T14:15:00-06:00,723
1991-01-04T14:15:00-06:00,723
1991-01-05T14:15:00-06:00,723
1991-01-06T14:15:00-06:00,723
1991-01-07T14:15:00-06:00,723
1991-01-08T14:15:00-06:00,723
1991-01-09T14:15:00-06:00,723
1991-01-10T14:15:00-06:00,723
1991-01-11T14:15:00-06:00,723
1991-01-12T14:15:00-06:00,723
1991-01-13T14:15:00-06:00,723
1991-01-14T14:15:00-06:00,723
1991-01-15T14:15:00-06:00,723
1991-01-16T14:15:00-06:00,723
1991-01-17T14:15:00-06:00,723
1991-01-18T14:15:00-06:00,723
1991-01-19T14:15:00-06:00,723
1991-01-20T14:15:00-06:00,723
1991-01-21T14:15:00-06:00,723
1991-01-22T14:15:00-06:00,723
1991-01-23T14:15:00-06:00,723
1991-01-24T14:15:00-06:00,723
1991-01-25T14:15:00-06:00,723
